filename,bibtex_key,authors,year,journal,data_source,years,countries,main_topic,must_cite,notes
"D3.pdf","D3_morgenstern_buajitti_oneill_2020","Jason Denzil Morgenstern; Emmalin Buajitti; Meghan O'Neill; Thomas Piggott; Vivek Goel; Daniel Fridman; Kathy Kornas; Laura C. Rosella","2020","BMJ Open","Scoping review of ML prediction studies in population health","1980-2018 literature","International; most common United States and China","Population-health prediction, validation, reporting, calibration","yes","Strong methods citation for validation, reporting, generalisability, calibration, and comparison with simpler baselines."
"D4.pdf","D4_lee_schwartz_bansal_2022","Woojung Lee; Naomi Schwartz; Aasthaa Bansal; Sara Khor; Noah Hammarlund; Anirban Basu; Beth Devine","2022","Value in Health","Scoping review of ML in HEOR using nonwearable data","2020-2021 literature","International HEOR studies","Machine learning in health economics and outcomes research","yes","Methods citation showing tree-based models are common and economic/resource-use outcomes are underexplored."
"E1.pdf","E1_ranjan_thiagarajan_shanmugam_2023","Alok Ranjan; Sundararaman Thiagarajan; Govindaraj Shanmugam; Samir Garg","2023","BMC Health Services Research","Household survey with perceived and latent unmet healthcare need measures","Cross-sectional survey; year not clearly stated in extracted text","Korba district, Chhattisgarh, India","Measurement of unmet healthcare need, latent need, incomplete care, inappropriate care","maybe","Useful for conceptual and limitations sections because self-reported unmet need can miss latent and unrecognised need."
"Rare disease care in Europe – Gaping unmet needs.pdf","pakter_2024_rare_disease_care","Philippe Pakter","2024","Rare","Legal and policy review of rare disease access in Europe","Policy literature current to 2023/2024","Europe / EU Member States","Rare disease treatment access, orphan medicines, reimbursement, cross-border healthcare, Member-State inequality","maybe","Background example of effective-access inequality across European health systems; less central because not EU-SILC or population-level unmet medical examination."
"Access to healthcare for people aged 50+ in Europe.pdf","smolic_cipin_medimurec_2022","Sime Smolic; Ivan Cipin; Petra Medimurec","2022","European Journal of Ageing","SHARE Corona Survey plus SHARE Wave 7 and country-level COVID/system indicators","2019-2020 background and 2020 pandemic survey","25 European countries plus Israel","COVID-era forgone, postponed, and denied care among adults aged 50+","yes","Relevant micro-macro evidence on pandemic access disruptions, economic strain, poor health, country variation, UHC, and containment measures."
"Economic crisis, austerity and unmet.pdf","zavras_zavras_kyriopoulos_2016","Dimitris Zavras; Athanasios I. Zavras; Ilias-Ioannis Kyriopoulos; John Kyriopoulos","2016","BMC Health Services Research","EU-SILC plus Greek national health surveys","EU-SILC 2004-2011; surveys 2006 and 2011","Greece","Economic crisis, austerity, unemployment, income, insurance, and financial unmet need","yes","Direct EU-SILC crisis/austerity source supporting unemployment, income, financial barriers, and insurance/social protection covariates."
"Economic vulnerability and unmet healthcare needs.pdf","arnault_jusot_renaud_2022","Louis Arnault; Florence Jusot; Thomas Renaud","2022","European Journal of Ageing","SHARE Wave 8 plus SHARE Corona Survey","2019-2020","26 European countries","Economic vulnerability and COVID-era unmet healthcare among adults aged 50+","yes","Strong inequality source showing financial strain, poor health, country heterogeneity, and interaction effects across unmet-need types."
"Effects of the financial crisis and Troika austerity measures.pdf","legido_quigley_karanikolos_2016","Helena Legido-Quigley; Marina Karanikolos; Sonia Hernandez-Plaza; Claudia de Freitas; Luis Bernardo; Beatriz Padilla; Rita Sa Machado; Karla Diaz-Ordaz; David Stuckler; Martin McKee","2016","Health Policy","EU-SILC plus OECD/Eurostat/Portuguese Ministry and policy evidence","Main EU-SILC comparison 2010 and 2012","Portugal","Troika austerity, co-payments/OOP financing, and unmet medical need","yes","Direct EU-SILC Portugal source linking austerity, financial barriers, waiting times, public/private financing, and OOP exposure."
"Investigating unmet need for healthcare.pdf","moran_suhrcke_ruiz_castell_2021","Valerie Moran; Marc Suhrcke; Maria Ruiz-Castell; Jessica Barre; Laetitia Huiart","2021","BMJ Open","European Health Interview Survey wave 2","2014","Luxembourg","Reason-specific unmet need: waits, distance, medical/dental/medicines/mental-health affordability","yes","Useful EHIS micro evidence for measurement, reason-specific barriers, income gradients, social support, and high-resource-system access gaps."
"Karanikolos-2016-Access-to-care-in-the-baltic-states.pdf","karanikolos_gordeev_mackenbach_2016","Marina Karanikolos; Vladimir S. Gordeev; Johan P. Mackenbach; Martin McKee","2016","European Journal of Public Health","EU-SILC cross-sectional microdata","2005-2012","Estonia; Latvia; Lithuania","Financial crisis, austerity, affordability, waiting lists, and unmet medical need","yes","Direct EU-SILC crisis paper showing different Baltic policy responses produced cost barriers in Latvia and waiting-list barriers in Estonia."
"maslyankov-2024-unmet-healthcare-needs-in-southeastern-europe-a-systematic-review.pdf","maslyankov_2024_southeastern_europe","Ivan Maslyankov","2024","The Journal of Medicine Access","Systematic review of quantitative studies using self-reported unmet healthcare need","Post-2003 studies searched July 2023","Albania; Bosnia and Herzegovina; Bulgaria; Greece; Kosovo; Montenegro; Serbia; North Macedonia; Romania","Southeastern Europe unmet healthcare needs evidence, cost barriers, socioeconomic disadvantage","yes","Regional synthesis useful for Balkan/Southeastern Europe motivation; highlights cost/OOP barriers, disadvantaged groups, and uneven evidence quality."
"Older_Europeans_experience_of_unmet_health_care_d.pdf","tavares_2022_older_europeans_covid","Aida Isabel Tavares","2022","BMC Health Services Research","SHARE COVID-19 Survey plus SHARE Wave 7 and Eurostat/Oxford macro indicators","2020 pandemic survey with 2018-2019 macro/system variables","25 EU countries","COVID first-wave unmet care among adults aged 50+, OOP, beds, doctors, nurses, system type","yes","Relevant micro-macro SHARE paper linking unmet care to economic strain, poor health, high OOP, Beveridge systems, and health-system resources."
"Predictors of unmet health care needs in.pdf","popovic_terzic_supic_simic_2017","Natasa Popovic; Zorica Terzic-Supic; Snezana Simic; Biljana Mladenovic","2017","PLOS ONE","Serbian SILC / EU-SILC methodology","2014","Serbia excluding Kosovo and Metohija","Predictors and reasons for unmet healthcare need in Serbia","yes","Direct EU-SILC-family country study; supports income, health status, region, education, financial barriers, waiting lists, and access reason categories."
"Predictors of Unmet Healthcare Needs during Economic and.pdf","pierrakos_goula_latsou_2023","George Pierrakos; Aspasia Goula; Dimitra Latsou","2023","International Journal of Environmental Research and Public Health","Eurostat EU-SILC and macro indicators","2008-2022 mainly; indicator-specific shorter windows","Greece with EU27 comparisons","Eurostat time-series predictors of unmet medical need during economic and health crises","yes","Close to Mahdi's Eurostat macro design; supports unemployment, GDP, public/private expenditure, income gradients, health status, and non-causal interpretation."
"Unmet Health Care Needs of the Older Population in European.pdf","kocot_2023_older_population_eurostat","Ewa Kocot","2023","Healthcare","Eurostat EHIS unmet-healthcare-need indicators","2019","26 EU countries plus Iceland and Norway","Older population unmet healthcare needs by age, reason, income, education, urbanization, activity limitation","yes","Useful Eurostat measurement paper comparing older and younger groups; highlights EHIS versus EU-SILC denominator differences and age-specific reason patterns."
"Unmet healthcare needs among older Europeans trends,.pdf","chantzaras_yfantopoulos_2025","Athanasios Chantzaras; John Yfantopoulos","2025","Journal of Public Health","SHARE wave 8 plus Eurostat public health expenditure; descriptive comparison with SHARE wave 1","2004 and 2019/2020","26 European countries","Older Europeans unmet needs, public health expenditure, income, specialist access, service-specific unmet need","yes","Strong financing/capacity citation linking public expenditure to lower unmet needs; useful for macro predictors, country heterogeneity, and non-causal interpretation."
